Nested Sampling Global Log-Evidence           :    0.900924000151853106E+05  +/-    0.562033599784026672E+00
Nested Importance Sampling Global Log-Evidence:    0.900919275056029146E+05  +/-    0.218409762320162862E-01

Dim No.       Mean        Sigma
   1   -0.567766422308967501E-02    0.872841416109431556E+00
   2    0.611289374894248616E+00    0.116594321103809695E+01
   3    0.489540961223245696E+00    0.318945936252333972E+00
   4    0.512122091119504019E+00    0.160124950985887082E+00
   5   -0.144876322990851474E+02    0.459817424562616317E+00
   6    0.434864359344370133E+01    0.951126442736790367E+00
   7   -0.114902299712505762E+02    0.509092442968975406E-01
   8    0.199265693075022043E+01    0.196681801446845800E+00
   9   -0.126075401960190909E+02    0.820047229508519548E-01
  10    0.204251965784022271E+01    0.306507258679396322E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.960577188797742565E+00
   2    0.860677993342597869E+00
   3    0.933438118581596393E-01
   4    0.662950340881389488E+00
   5   -0.144709995405843515E+02
   6    0.426849068655391850E+01
   7   -0.114596049748381077E+02
   8    0.189877150545917051E+01
   9   -0.126105584676891311E+02
  10    0.192761441578161263E+01

MAP Parameters
Dim No.        Parameter
   1   -0.960577188797742565E+00
   2    0.860677993342597869E+00
   3    0.933438118581596393E-01
   4    0.662950340881389488E+00
   5   -0.144709995405843515E+02
   6    0.426849068655391850E+01
   7   -0.114596049748381077E+02
   8    0.189877150545917051E+01
   9   -0.126105584676891311E+02
  10    0.192761441578161263E+01
